index,Notice Type,Posted Date/Time,Notice Effective Date/Time,Notice End Date/Time,Notice Identifier,Subject,Response Date/Time,unit
0,Operational Flow Order,11/01/2022 07:14:13 AM,11/01/2022 09:00:00 AM,01/30/2023 09:00:00 AM,126922,AGT Operational Flow Order -- LIFTED,,AG
1,Capacity Constraint,10/31/2022 03:40:00 PM,11/01/2022 09:00:00 AM,11/02/2022 09:00:00 AM,126903,AGT Pipeline Conditions for 11/1/2022,,AG
2,Capacity Constraint,10/30/2022 03:03:04 PM,10/31/2022 09:00:00 AM,11/01/2022 09:00:00 AM,126863,AGT Pipeline Conditions for 10/31/2022,,AG
3,Capacity Constraint,10/29/2022 03:13:39 PM,10/30/2022 09:00:00 AM,10/31/2022 09:00:00 AM,126840,AGT Pipeline Conditions for 10/30/2022,,AG
4,Capacity Constraint,10/28/2022 03:02:00 PM,10/29/2022 09:00:00 AM,10/30/2022 09:00:00 AM,126787,AGT Pipeline Conditions for 10/29//2022,,AG
5,Capacity Constraint,10/27/2022 03:28:00 PM,10/28/2022 09:00:00 AM,10/29/2022 09:00:00 AM,126767,AGT Pipeline Conditions for 10/28/2022,,AG
6,Operational Flow Order,10/27/2022 07:06:45 AM,10/29/2022 09:00:00 AM,01/25/2023 09:00:00 AM,126726,AGT Operational Flow Order,,AG
7,Capacity Constraint,10/26/2022 03:09:00 PM,10/27/2022 09:00:00 AM,10/28/2022 09:00:00 AM,126720,AGT Pipeline Conditions for 10/27/2022,,AG
8,Capacity Constraint,10/25/2022 04:15:00 PM,10/26/2022 09:00:00 AM,10/27/2022 09:00:00 AM,126676,AGT Pipeline Conditions for 10/26/2022,,AG
9,Force Majeure,10/24/2022 05:40:39 PM,10/24/2022 05:40:39 PM,01/22/2023 05:40:39 PM,126641,G System Line G-1L Force Majeure -- LIFTED,,AG
10,Capacity Constraint,10/24/2022 05:38:05 PM,10/24/2022 05:38:05 PM,01/22/2023 05:38:05 PM,126640,G System Line G-1L Unplanned Outage -- COMPLETE,,AG
11,Capacity Constraint,10/24/2022 04:21:00 PM,10/25/2022 09:00:00 AM,10/26/2022 09:00:00 AM,126637,AGT Pipeline Conditions for 10/25/2022,,AG
12,Operational Flow Order,10/24/2022 07:49:00 AM,10/24/2022 09:00:00 AM,01/22/2023 09:00:00 AM,126595,AGT Operational Flow Order -- LIFTED,,AG
13,Capacity Constraint,10/23/2022 03:37:28 PM,10/24/2022 09:00:00 AM,10/25/2022 09:00:00 AM,126589,AGT Pipeline Conditions for 10/24/2022,,AG
14,Force Majeure,10/23/2022 03:01:48 PM,10/23/2022 03:01:48 PM,01/21/2023 03:01:48 PM,126570,G System Line G-1L Force Majeure,,AG
15,Capacity Constraint,10/23/2022 03:00:43 PM,10/23/2022 03:00:43 PM,01/21/2023 03:00:43 PM,126569,G System Line G-1L Unplanned Outage,,AG
16,Capacity Constraint,10/22/2022 03:28:49 PM,10/23/2022 09:00:00 AM,10/24/2022 09:00:00 AM,126554,AGT Pipeline Conditions for 10/23/2022,,AG
17,Capacity Constraint,10/21/2022 03:50:00 PM,10/22/2022 09:00:00 AM,10/23/2022 09:00:00 AM,126520,AGT Pipeline Conditions for 10/22/2022,,AG
18,Capacity Constraint,10/20/2022 04:22:25 PM,10/21/2022 09:00:00 AM,10/22/2022 09:00:00 AM,126486,AGT Pipeline Conditions for 10/21/2022,,AG
19,Operational Flow Order,10/20/2022 08:24:29 AM,10/22/2022 09:00:00 AM,01/18/2023 09:00:00 AM,126447,AGT Operational Flow Order,,AG
20,Capacity Constraint,10/19/2022 04:28:00 PM,10/20/2022 09:00:00 AM,10/21/2022 09:00:00 AM,126441,AGT Pipeline Conditions for 10/20/2022,,AG
21,Capacity Constraint,10/19/2022 07:42:00 AM,10/20/2022 09:00:00 AM,01/17/2023 09:00:00 AM,126410,AGT Imbalance Notice -- UPDATE,,AG
22,Operational Flow Order,10/19/2022 07:22:26 AM,10/19/2022 07:22:26 AM,01/17/2023 07:22:26 AM,126409,AGT Operational Flow Order -- CANCELLED,,AG
23,Operational Flow Order,10/19/2022 07:09:57 AM,10/20/2022 09:00:00 AM,01/17/2023 09:00:00 AM,126408,AGT Operational Flow Order,,AG
24,Capacity Constraint,10/18/2022 03:20:00 PM,10/19/2022 09:00:00 AM,10/20/2022 09:00:00 AM,126403,AGT Pipeline Conditions for 10/19/2022,,AG
25,Capacity Constraint,10/17/2022 03:15:00 PM,10/18/2022 09:00:00 AM,10/19/2022 09:00:00 AM,126343,AGT Pipeline Conditions for 10/18/2022,,AG
26,Capacity Constraint,10/16/2022 03:09:16 PM,10/17/2022 09:00:00 AM,10/18/2022 09:00:00 AM,126317,AGT Pipeline Conditions for 10/17/2022,,AG
27,Capacity Constraint,10/15/2022 02:51:12 PM,10/16/2022 09:00:00 AM,10/17/2022 09:00:00 AM,126273,AGT Pipeline Conditions for 10/16/2022,,AG
28,Capacity Constraint,10/14/2022 02:55:58 PM,10/15/2022 09:00:00 AM,10/16/2022 09:00:00 AM,126238,AGT Pipeline Conditions for 10/15/2022,,AG
29,Computer System Status,10/14/2022 10:04:50 AM,10/14/2022 10:30:00 PM,10/17/2022 02:30:00 AM,126203,Reminder: LINK System Maintenance this weekend (October 14 to October 17),,AG
30,Capacity Constraint,10/13/2022 02:40:14 PM,10/14/2022 09:00:00 AM,10/15/2022 09:00:00 AM,126177,AGT Pipeline Conditions for 10/14/2022,,AG
31,Capacity Constraint,10/12/2022 03:52:00 PM,10/13/2022 09:00:00 AM,10/14/2022 09:00:00 AM,126161,AGT Pipeline Conditions for 10/13/2022,,AG
32,Capacity Constraint,10/11/2022 03:11:00 PM,10/12/2022 09:00:00 AM,10/13/2022 09:00:00 AM,126127,AGT Pipeline Conditions for 10/12/2022,,AG
33,Capacity Constraint,10/10/2022 03:24:30 PM,10/11/2022 09:00:00 AM,10/12/2022 09:00:00 AM,126053,AGT Pipeline Conditions for 10/11/2022,,AG
34,Capacity Constraint,10/09/2022 03:43:07 PM,10/10/2022 09:00:00 AM,10/11/2022 09:00:00 AM,126012,AGT Pipeline Conditions for 10/10/2022,,AG
